"ID","ИД"
"Chat ID","ИД чата"
"Chat Name","Название чата"
"User Name","Имя пользователя"
"Is Active","Активен"
"Created At","Создан"
"Telegram Updated At","Обновлен в Telegram"
"No","Нет"
"Yes","Да"
"Telegram Chats","Чаты Telegram"
"Please correct the data sent.","Пожалуйста, исправьте отправленные данные."
"Telegram Chat with ID %1 no longer exists.","Чат Telegram с ИД %1 больше не существует."
"Error while saving Telegram Chat with ID %1: %2","Ошибка при сохранении чата Telegram с ИД %1: %2"
"Telegram","Telegram"
"Is Telegram Enabled","Телеграм включен"
"Token","Токен"
"Base url","Базовый URL"
"Send method","Метод отправки"
"get messages method","Метод получения сообщений"
"Cron Expression","Выражение Cron" 